Pclass,Sex,Age,Fare,Embarked,SibSp,Parch,FamilySize,IsAlone,Survived
2,male,42.00746102576122,415.4842718320885,S,2,2,5,0,0
3,female,38.855368332748746,384.61861938081165,C,0,3,4,0,1
3,female,3.025723198708419,291.0291862132309,S,2,1,4,0,0
3,female,27.958578382466353,478.4631003698472,S,3,3,7,0,1
1,female,31.035453884082706,108.23251260891736,C,2,2,5,0,0
1,male,32.50699969085514,63.53946305171449,Q,4,1,6,0,1
1,female,46.83361716895925,428.44136380815684,C,2,3,6,0,0
3,male,43.154601191423396,225.18341015053667,S,3,4,8,0,0
3,male,49.024502330682125,425.01473856145964,S,3,4,8,0,0
3,male,61.425777661828135,447.6142005457533,S,3,3,7,0,0
1,male,65.22587335857139,40.60422087334501,C,4,1,6,0,1
3,male,57.73172302189306,442.8977338631697,S,3,3,7,0,0
3,female,76.48637198043984,229.67633713101688,S,0,3,4,0,0
2,female,2.440374031432569,260.1119196120738,C,3,2,6,0,0
1,female,16.46646086900014,317.030330435673,Q,2,4,7,0,0
1,female,1.5974671232732276,463.92747729774254,Q,2,2,5,0,0
2,male,52.150502418213634,19.366886270584374,S,2,2,5,0,0
3,female,71.94441336704897,243.65329947573036,C,4,3,8,0,1
2,male,20.235101429527642,346.9838007909747,S,2,2,5,0,0
2,female,74.23572903890823,364.1264092721319,C,4,4,9,0,1
3,male,5.761123832875307,349.3408914531829,C,4,2,7,0,1
1,male,74.82044611763563,75.87321340997971,Q,3,4,8,0,0
2,female,28.77819229193112,156.7038383021238,Q,0,2,3,0,0
2,male,9.012245447488105,185.77060745433658,C,3,4,8,0,0
2,male,39.38386897571973,404.17423176295745,S,3,2,6,0,1
3,female,21.285348849920126,146.592337483131,Q,4,2,7,0,1
1,male,23.504959254991903,113.24543229492956,S,4,1,6,0,0
3,female,25.27590722917664,479.14952932866714,Q,2,4,7,0,1
3,female,64.43904592878042,14.34300970559976,Q,2,4,7,0,0
1,female,43.593740857345104,498.9322192841693,S,3,4,8,0,1
3,male,25.593308233324287,341.64243644012384,Q,1,0,2,0,1
1,male,49.21636888156255,415.94995673006736,Q,1,2,4,0,0
1,male,57.57590326363229,154.36350420963464,S,2,4,7,0,0
3,female,22.537296057949167,17.01448605685939,Q,1,0,2,0,0
3,male,33.67037902050277,371.55606409514974,Q,2,1,4,0,0
3,female,10.629001373618857,418.7308525303311,Q,4,4,9,0,1
2,female,15.310798613239745,372.8333046572244,S,3,4,8,0,0
1,male,54.80831046323364,79.99664077741092,C,0,0,1,1,0
3,female,15.333629467954529,379.17968190591483,S,3,2,6,0,0
2,male,42.48790730969775,386.7721632327441,C,2,1,4,0,1
1,male,57.01465467607218,332.6848526783269,Q,2,4,7,0,0
2,male,9.443276924484763,385.3968070698372,C,3,2,6,0,0
1,male,45.81766535068338,424.5015054420887,S,2,1,4,0,0
3,male,21.26845991240774,310.66601597635463,S,1,3,5,0,1
2,female,77.0712231437688,53.41630984514274,Q,1,3,5,0,1
3,female,39.20010609087405,248.9376267369333,C,2,1,4,0,0
2,female,64.67341143223749,48.04817398908648,Q,2,0,3,0,0
3,male,44.46789683034468,209.6960852058911,Q,1,1,3,0,0
3,male,4.429590095530714,209.48217967155753,S,2,1,4,0,0
1,male,51.01895867192776,42.34482362871837,C,2,0,3,0,0
3,female,76.1608640343259,180.92206164504486,C,3,0,4,0,1
3,male,48.52733379156017,64.38906840774428,C,0,2,3,0,0
